Customer,ST,GENDER,Education,Customer Lifetime Value,Income,Monthly Premium Auto,Number of Open Complaints,Policy Type,Vehicle Class,Total Claim Amount
HP36979,Cali,Male,College,640878.56%,49988,84.0000000000,1/5/00,Personal Auto,Two-Door Car,566.935022
PP40919,Cali,Femal,College,237653.35%,0,91.0000000000,1/5/00,Personal Auto,Two-Door Car,436.8
RO73268,Cali,M,Bachelor,321107.00%,16269,86.0000000000,1/0/00,Corporate Auto,Two-Door Car,412.8
HO61691,Arizona,F,Bachelor,509452.23%,72006,64.0000000000,1/0/00,Personal Auto,Four-Door Car,307.2
BS13062,Arizona,F,High School or Below,2575527.82%,0,81.0000000000,1/2/00,Personal Auto,Four-Door Car,388.8
FO35655,Oregon,M,Bachelor,867222.97%,0,245.0000000000,1/0/00,Corporate Auto,Luxury SUV,2345.413441
HR10526,Cali,M,Master,804473.07%,44320,67.0000000000,1/0/00,Personal Auto,Four-Door Car,321.6
IA63417,Arizona,F,High School or Below,400151.91%,19782,108.0000000000,1/0/00,Personal Auto,Two-Door Car,773.470977
BH35016,Nevada,F,Bachelor,1670611.70%,63933,70.0000000000,1/0/00,Personal Auto,Two-Door Car,424.883448
PK52952,Arizona,M,Doctor,854441.11%,28224,109.0000000000,1/0/00,Personal Auto,SUV,523.2
OD76309,WA,F,College,780531.29%,21073,106.0000000000,1/1/00,Personal Auto,SUV,508.8
IL28481,Oregon,M,Bachelor,611275.69%,63243,77.0000000000,1/0/00,Personal Auto,Four-Door Car,364.240307
GY55092,Nevada,M,High School or Below,477294.38%,20993,133.0000000000,1/0/00,Personal Auto,SUV,638.4
UF33451,Oregon,F,Bachelor,1097909.56%,94827,135.0000000000,1/0/00,Personal Auto,SUV,354.729129
CF15558,Cali,F,Master,500426.38%,39161,63.0000000000,1/1/00,Personal Auto,Two-Door Car,283.995953
JM62924,WA,M,Bachelor,1322304.38%,37534,84.0000000000,1/2/00,Personal Auto,Four-Door Car,403.2
EM66435,Oregon,F,Bachelor,262331.54%,80210,65.0000000000,1/0/00,Corporate Auto,Four-Door Car,20.543176
QX45933,Cali,M,Bachelor,1784019.56%,0,62.0000000000,1/0/00,Personal Auto,Four-Door Car,385.115437
JI71369,Cali,F,College,510611.18%,30110,64.0000000000,1/0/00,Personal Auto,Four-Door Car,140.165035
JU93290,Arizona,F,College,1793060.45%,21708,68.0000000000,1/0/00,Personal Auto,Four-Door Car,326.4
GU66096,Arizona,M,High School or Below,545734.26%,94731,67.0000000000,1/0/00,Personal Auto,Four-Door Car,321.6
UC33108,Cali,M,Bachelor,656364.41%,32375,83.0000000000,1/0/00,Personal Auto,Four-Door Car,398.4
LW93867,Oregon,M,College,481252.52%,16531,63.0000000000,1/0/00,Corporate Auto,Four-Door Car,102.879769
OU78470,Arizona,F,Master,2932804.19%,32006,94.0000000000,1/0/00,Corporate Auto,Four-Door Car,56.868289
XW90265,Arizona,F,Bachelor,577352.07%,81676,72.0000000000,1/0/00,Personal Auto,Two-Door Car,463.158502
HS67749,Cali,M,College,684711.89%,71038,86.0000000000,1/0/00,Corporate Auto,Four-Door Car,205.444066
VZ51506,Arizona,F,High School or Below,359531.29%,0,103.0000000000,1/0/00,Corporate Auto,Sports Car,741.6
UI64281,Nevada,F,Master,2285561.21%,20832,65.0000000000,1/0/00,Personal Auto,Two-Door Car,56.371967
AE98193,WA,M,High School or Below,785941.46%,0,113.0000000000,1/0/00,Personal Auto,SUV,813.6
AZ74055,Oregon,M,High School or Below,411557.74%,52405,103.0000000000,1/0/00,Personal Auto,Four-Door Car,494.4
XS76911,Arizona,F,High School or Below,502963.88%,0,133.0000000000,1/0/00,Personal Auto,Sports Car,795.864079
AY40674,WA,F,Bachelor,482141.85%,26583,1005.0000000000,1/4/00,Personal Auto,SUV,614.4
NA12740,Oregon,M,Master,500431.05%,25486,65.0000000000,1/0/00,Special Auto,Two-Door Car,72.438681
UA84837,Arizona,M,College,863005.39%,24065,111.0000000000,1/0/00,Corporate Auto,Four-Door Car,532.8
DJ51510,Arizona,F,High School or Below,932208.51%,70435,116.0000000000,1/0/00,Personal Auto,Four-Door Car,67.881546
VM58985,Cali,M,College,1672756.06%,0,76.0000000000,1/2/00,Personal Auto,Two-Door Car,402.636829
OH60605,Oregon,F,High School or Below,365253.24%,39679,92.0000000000,1/0/00,Personal Auto,Two-Door Car,641.388616
UO98052,Nevada,M,College,615860.12%,0,89.0000000000,1/0/00,Personal Auto,Four-Door Car,342.481173
NC53424,Cali,M,Bachelor,437608.40%,0,69.0000000000,1/4/00,Personal Auto,Two-Door Car,331.2
LQ13873,Nevada,M,High School or Below,556945.62%,53565,71.0000000000,1/1/00,Personal Auto,Four-Door Car,340.8
LA97014,WA,M,Bachelor,257651.30%,37574,66.0000000000,1/1/00,Personal Auto,Two-Door Car,412.101933
NB79936,WA,M,Bachelor,834698.32%,48259,108.0000000000,1/0/00,Personal Auto,Two-Door Car,73.700573
NT89061,Arizona,F,High School or Below,632392.39%,78532,78.0000000000,1/0/00,Personal Auto,Four-Door Car,374.4
AF10970,Arizona,F,Bachelor,597314.34%,96163,73.0000000000,1/0/00,Corporate Auto,Four-Door Car,350.4
ZG48513,Cali,M,Bachelor,470667.70%,0,72.0000000000,1/0/00,Personal Auto,Four-Door Car,345.6
JQ59145,Cali,Male,High School or Below,809341.03%,0,114.0000000000,1/1/00,Personal Auto,Sports Car,722.024742
FE84989,WA,Male,College,503574.46%,72672,63.0000000000,1/0/00,Personal Auto,Four-Door Car,259.361117
JT52858,Oregon,F,Bachelor,902786.72%,99002,112.0000000000,1/1/00,Personal Auto,Four-Door Car,537.6
MC62068,California,Male,High School or Below,728888.48%,79494,91.0000000000,1/0/00,Personal Auto,Four-Door Car,396.295614
EU27538,Oregon,Male,Master,1804247.94%,35704,225.0000000000,1/0/00,Personal Auto,Luxury Car,358.281562
RH42306,Arizona,F,Bachelor,499206.30%,0,71.0000000000,1/0/00,Corporate Auto,Four-Door Car,653.388564
US23612,Oregon,F,High School or Below,910226.78%,26049,118.0000000000,1/0/00,Personal Auto,Two-Door Car,121.032372
WV76014,Arizona,Male,Doctor,254040.77%,70125,64.0000000000,1/0/00,Special Auto,Four-Door Car,92.813396
RK96223,California,Male,College,1294189.19%,52369,110.0000000000,1/1/00,Personal Auto,SUV,528
MF82000,WA,female,Bachelor,236534.86%,0,66.0000000000,1/2/00,Special Auto,Four-Door Car,159.636956
FM46980,Arizona,Male,College,572076.51%,41770,72.0000000000,1/0/00,Personal Auto,Four-Door Car,476.156957
SY56792,Oregon,Male,High School or Below,703553.41%,0,101.0000000000,1/0/00,Corporate Auto,Four-Door Car,727.2
RF61565,California,M,College,263697.77%,31911,67.0000000000,1/0/00,Personal Auto,Four-Door Car,321.6
IM94808,Nevada,M,Bachelor,539583.20%,70051,68.0000000000,1/0/00,Corporate Auto,Four-Door Car,42.078345
VI14730,Oregon,M,High School or Below,838263.01%,19683,117.0000000000,1/1/00,Personal Auto,Sports Car,561.6
YR34119,WA,F,College,3116174.52%,30916,112.0000000000,1/0/00,Personal Auto,SUV,200.11606
RR77985,Oregon,F,Bachelor,288774.23%,0,80.0000000000,1/0/00,Personal Auto,Four-Door Car,676.944023
QD28391,Washington,M,College,742584.53%,84302,62.0000000000,1/0/00,Personal Auto,Four-Door Car,76.609295
WV17090,California,M,Bachelor,2558572.78%,0,116.0000000000,1/0/00,Corporate Auto,SUV,830.623064
TM23514,Oregon,M,College,1027260.82%,60145,132.0000000000,1/0/00,Personal Auto,SUV,580.473259
MQ68407,Oregon,F,Bachelor,437636.36%,63774,111.0000000000,1/0/00,Personal Auto,Four-Door Car,60.036683
GJ59592,California,F,Bachelor,531889.66%,25134,67.0000000000,1/0/00,Corporate Auto,Four-Door Car,321.6
FY56083,Oregon,M,Bachelor,471976.22%,37057,61.0000000000,1/1/00,Personal Auto,Four-Door Car,47.53101
UA94723,Oregon,F,High School or Below,442803.16%,58577,110.0000000000,1/0/00,Personal Auto,SUV,303.872752
FW91032,California,M,High School or Below,587917.61%,85857,73.0000000000,1/0/00,Corporate Auto,Four-Door Car,100.620067
DE34457,Oregon,F,Doctor,941690.85%,70602,116.0000000000,1/0/00,Personal Auto,SUV,481.339891
HD32044,Oregon,F,Master,828815.56%,33816,106.0000000000,1/2/00,Corporate Auto,Four-Door Car,508.8
HH30454,Oregon,M,Bachelor,3265483.83%,0,153.0000000000,1/0/00,Personal Auto,SUV,1101.6
AH84063,Oregon,F,College,471945.01%,89642,121.0000000000,1/4/00,Corporate Auto,SUV,86.320022
QA17596,California,F,Bachelor,390347.48%,60068,98.0000000000,1/0/00,Personal Auto,Two-Door Car,470.4
XI41052,California,F,Bachelor,545725.97%,50044,139.0000000000,1/0/00,Personal Auto,SUV,667.2
DI30528,California,F,Master,272535.64%,36650,69.0000000000,1/1/00,Personal Auto,Four-Door Car,56.60333
SC66359,Arizona,F,College,443397.37%,50653,110.0000000000,1/0/00,Corporate Auto,SUV,262.865172
EN61670,Arizona,F,Doctor,533246.27%,68931,66.0000000000,1/0/00,Personal Auto,Four-Door Car,309.577946
DQ10761,Oregon,M,Bachelor,231509.50%,0,73.0000000000,1/1/00,Corporate Auto,Four-Door Car,350.4
BQ51587,California,F,College,541195.37%,0,73.0000000000,1/0/00,Personal Auto,Four-Door Car,365.364581
JE21522,California,M,Bachelor,958733.23%,39266,80.0000000000,1/0/00,Personal Auto,Four-Door Car,384
WS47147,California,M,College,2210350.72%,0,102.0000000000,1/0/00,Personal Auto,SUV,489.6
ZA64638,Nevada,F,High School or Below,976494.53%,0,98.0000000000,1/1/00,Personal Auto,Four-Door Car,705.6
EW38459,Nevada,F,Bachelor,256715.15%,40864,65.0000000000,1/0/00,Corporate Auto,Four-Door Car,9.51528
QW87316,Oregon,F,College,265062.28%,39035,68.0000000000,1/0/00,Personal Auto,Four-Door Car,244.564334
IC43478,California,M,Bachelor,1126436.33%,34923,98.0000000000,1/0/00,Personal Auto,Two-Door Car,639.105556
TE34064,California,M,High School or Below,216852.35%,0,63.0000000000,1/0/00,Personal Auto,Four-Door Car,453.6
WU60905,California,F,High School or Below,861066.75%,0,111.0000000000,1/0/00,Corporate Auto,SUV,532.8
YM18992,California,F,College,283464.62%,24506,71.0000000000,1/0/00,Personal Auto,Two-Door Car,511.2
PD55753,Oregon,M,High School or Below,893013.97%,0,82.0000000000,1/0/00,Personal Auto,Four-Door Car,554.522969
KU56006,Arizona,F,College,553638.70%,52220,70.0000000000,1/1/00,Personal Auto,Four-Door Car,336
MJ69973,Arizona,M,High School or Below,284085.43%,0,74.0000000000,1/0/00,Personal Auto,Two-Door Car,402.449823
TW43626,California,M,College,808288.10%,53554,67.0000000000,1/0/00,Personal Auto,Four-Door Car,327.020539
XX84133,California,M,Bachelor,525473.43%,34476,67.0000000000,1/1/00,Corporate Auto,Four-Door Car,5.3953
ZW84453,Arizona,F,Bachelor,511623.76%,0,70.0000000000,1/0/00,Personal Auto,Four-Door Car,131.401291
HO29524,California,M,College,303464.70%,68205,76.0000000000,1/0/00,Personal Auto,Two-Door Car,99.382943
VE89726,California,female,High School or Below,802489.99%,0,119.0000000000,1/1/00,Personal Auto,SUV,856.8
GE87503,California,M,High School or Below,1821114.32%,53690,154.0000000000,1/0/00,Personal Auto,SUV,739.2
PX90263,Oregon,M,High School or Below,512156.33%,0,72.0000000000,1/0/00,Personal Auto,Four-Door Car,518.4
NI17718,California,female,High School or Below,215017.86%,0,61.0000000000,1/0/00,Personal Auto,Four-Door Car,292.8
FY32213,California,female,High School or Below,559538.99%,74454,71.0000000000,1/0/00,Personal Auto,Four-Door Car,340.8
RZ13254,Nevada,female,Bachelor,756282.40%,0,73.0000000000,1/0/00,Personal Auto,Four-Door Car,350.4
GN45013,Oregon,M,High School or Below,538585.32%,29664,71.0000000000,1/0/00,Personal Auto,Four-Door Car,340.8
NM39588,Washington,F,Doctor,267805.83%,72450,66.0000000000,1/0/00,Corporate Auto,Four-Door Car,84.218363
KU84464,Nevada,female,Bachelor,942256.79%,47272,79.0000000000,1/3/00,Personal Auto,Four-Door Car,64.546877
YH43527,Oregon,female,College,360586.03%,21585,92.0000000000,1/0/00,Corporate Auto,Four-Door Car,441.6
RO30676,California,female,College,776259.06%,23827,106.0000000000,1/2/00,Personal Auto,Four-Door Car,37.910623
QL59704,Arizona,female,College,2344490.05%,69906,74.0000000000,1/2/00,Corporate Auto,Four-Door Car,202.860399
QH19450,California,female,High School or Below,255817.82%,0,72.0000000000,1/0/00,Corporate Auto,Four-Door Car,345.6
SA54664,Washington,M,Master,265438.10%,73196,66.0000000000,1/1/00,Personal Auto,Four-Door Car,85.809817
CI38330,Washington,M,Bachelor,254978.61%,72217,6464.0000000000,1/0/00,Personal Auto,Four-Door Car,91.146661
WB38524,California,M,High School or Below,296959.33%,46131,74.0000000000,1/0/00,Personal Auto,Two-Door Car,355.2
CE56187,Oregon,female,Master,436312.46%,54514,109.0000000000,1/3/00,Personal Auto,SUV,286.234931
JL19416,California,female,High School or Below,588430.86%,0,161.0000000000,1/0/00,Personal Auto,SUV,1159.2
JZ61422,Nevada,female,College,527219.16%,96668,66.0000000000,1/0/00,Personal Auto,Four-Door Car,316.8
LA13377,California,M,Doctor,550989.57%,78879,69.0000000000,1/1/00,Personal Auto,Four-Door Car,466.570791
NC99948,Nevada,M,College,1631368.35%,0,69.0000000000,1/0/00,Personal Auto,Four-Door Car,331.2
QD34785,Arizona,female,Bachelor,567805.02%,0,76.0000000000,1/0/00,Personal Auto,Four-Door Car,364.8
RO26085,California,female,Bachelor,1210120.88%,0,112.0000000000,1/0/00,Personal Auto,Sports Car,1252.406235
ES57969,Oregon,M,Bachelor,245357.08%,29735,69.0000000000,1/0/00,Personal Auto,Four-Door Car,331.2
JK55587,California,M,High School or Below,507566.27%,23082,65.0000000000,1/0/00,Special Auto,Four-Door Car,312
RN97635,Arizona,M,Bachelor,321497.94%,53984,80.0000000000,1/0/00,Corporate Auto,Four-Door Car,421.484456
BI76326,California,female,College,1227534.31%,52135,156.0000000000,1/0/00,Personal Auto,SUV,430.505942
JA34909,California,female,College,272221.07%,17576,71.0000000000,1/0/00,Corporate Auto,Four-Door Car,398.502948
OJ90342,Oregon,female,Bachelor,245744.09%,29486,62.0000000000,1/0/00,Personal Auto,Four-Door Car,7.646763
CM88932,Oregon,female,Master,355484.53%,58557,88.0000000000,1/0/00,Corporate Auto,Four-Door Car,55.510526
JJ97525,California,M,Bachelor,492954.97%,25632,63.0000000000,1/0/00,Personal Auto,Two-Door Car,351.270869
XV21647,California,female,High School or Below,803645.03%,0,112.0000000000,1/0/00,Personal Auto,Sports Car,806.4
MC83487,Arizona,M,Bachelor,427691.53%,18768,68.0000000000,1/3/00,Corporate Auto,Four-Door Car,647.454583
BL90769,California,female,Bachelor,3347334.95%,33190,106.0000000000,1/0/00,Personal Auto,SUV,508.8
CR57148,Oregon,female,Master,596058.14%,47945,74.0000000000,1/0/00,Personal Auto,Two-Door Car,128.43823
CP85232,Arizona,M,College,4479546.94%,58778,126.0000000000,1/0/00,Special Auto,SUV,302.033971
YL74732,California,female,High School or Below,383211.81%,15192,100.0000000000,1/0/00,Personal Auto,SUV,480
FG16766,California,female,Bachelor,683793.26%,51859,171.0000000000,1/0/00,Personal Auto,SUV,1003.160633
NV55438,Nevada,female,High School or Below,528526.82%,23422,72.0000000000,1/0/00,Personal Auto,Two-Door Car,518.4
RM10880,California,female,College,309651.12%,21604,79.0000000000,1/0/00,Corporate Auto,Four-Door Car,379.2
GL56175,Arizona,M,College,358971.07%,79298,90.0000000000,1/0/00,Personal Auto,Four-Door Car,244.362072
UK52289,Arizona,female,Bachelor,258240.85%,76731,64.0000000000,1/0/00,Special Auto,Four-Door Car,201.455005
OT85112,Washington,M,College,340391.94%,38460,88.0000000000,1/1/00,Personal Auto,Four-Door Car,91.55098
BC62782,Arizona,F,College,1357567.60%,48534,115.0000000000,1/1/00,Personal Auto,SUV,552
TI19722,Washington,M,Doctor,343613.43%,30817,88.0000000000,1/0/00,Corporate Auto,Four-Door Car,91.834668
JP30654,Oregon,F,College,2868582.79%,48412,104.0000000000,1/0/00,Personal Auto,SUV,707.430832
UM45563,Washington,M,Bachelor,450267.97%,68798,114.0000000000,1/0/00,Personal Auto,SUV,92.915251
EN60878,Oregon,M,Bachelor,618311.15%,23712,85.0000000000,1/0/00,Personal Auto,Four-Door Car,376.126419
JF36291,California,M,College,387364.70%,28142,105.0000000000,1/0/00,Personal Auto,Sports Car,701.708239
BK59444,California,F,Master,1892933.06%,72196,68.0000000000,1/0/00,Personal Auto,Four-Door Car,152.184244
MK70700,California,M,Master,555329.58%,68197,69.0000000000,1/0/00,Personal Auto,Four-Door Car,176.819414
IW71076,California,M,Bachelor,501125.92%,75248,63.0000000000,1/0/00,Corporate Auto,Four-Door Car,104.454624
AP98768,California,F,College,1044244.63%,0,98.0000000000,1/0/00,Personal Auto,Four-Door Car,941.718054
OM24164,Nevada,M,Bachelor,219961.78%,0,65.0000000000,1/1/00,Personal Auto,Two-Door Car,468
HR85211,Washington,female,Master,512317.09%,89879,63.0000000000,1/0/00,Personal Auto,Two-Door Car,94.030308
VC87846,Oregon,M,High School or Below,748431.05%,46998,96.0000000000,1/0/00,Corporate Auto,Four-Door Car,460.8
ZM92052,Oregon,M,Bachelor,261302.31%,57099,67.0000000000,1/0/00,Personal Auto,Two-Door Car,67.859881
ON73702,Arizona,F,Bachelor,908063.97%,33897,114.0000000000,1/0/00,Corporate Auto,SUV,539.843003
QQ90441,Nevada,F,High School or Below,1377097.62%,59207,116.0000000000,1/0/00,Personal Auto,Four-Door Car,556.8
HU35721,Oregon,M,High School or Below,287682.29%,40171,73.0000000000,1/0/00,Personal Auto,Four-Door Car,350.4
YP47665,Washington,M,Doctor,540891.15%,80192,67.0000000000,1/0/00,Personal Auto,Four-Door Car,95.193157
FU99476,Washington,M,High School or Below,677030.68%,74422,85.0000000000,1/1/00,Personal Auto,Four-Door Car,95.338505
AG85615,Oregon,M,College,2414387.56%,0,87.0000000000,1/0/00,Special Auto,Four-Door Car,626.4
OY74069,Arizona,F,College,353805.95%,0,67.0000000000,1/5/00,Personal Auto,Four-Door Car,321.6
DJ91267,Nevada,F,Bachelor,2909123.94%,34226,244.0000000000,1/0/00,Personal Auto,Luxury SUV,494.395024
KB72438,California,F,High School or Below,1983420.12%,65989,123.0000000000,1/1/00,Personal Auto,SUV,115.545086
TR67616,Oregon,M,High School or Below,473136.70%,30686,61.0000000000,1/0/00,Corporate Auto,Four-Door Car,19.938981
GF65731,California,F,Master,3553784.60%,0,113.0000000000,1/0/00,Personal Auto,Sports Car,799.926741
HB67642,Arizona,F,High School or Below,3461137.90%,20090,109.0000000000,1/0/00,Personal Auto,Sports Car,523.2
DP84567,California,M,High School or Below,2021630.88%,0,183.0000000000,1/0/00,Personal Auto,Luxury SUV,878.4
VV77534,Oregon,M,College,1397651.93%,77094,176.0000000000,1/0/00,Personal Auto,SUV,444.470676
GL67540,California,F,College,590408.82%,97413,73.0000000000,1/0/00,Personal Auto,Four-Door Car,268.819985
SV50502,Oregon,F,Master,559583.50%,79189,69.0000000000,1/0/00,Corporate Auto,Four-Door Car,331.2
UK59698,California,F,High School or Below,229430.36%,0,62.0000000000,1/0/00,Personal Auto,Two-Door Car,297.6
OA57352,Arizona,F,College,627391.19%,18577,86.0000000000,1/0/00,Personal Auto,Four-Door Car,412.8
ZF84449,Oregon,F,College,372672.80%,0,112.0000000000,1/1/00,Special Auto,Sports Car,806.4
AX86150,Washington,M,High School or Below,265671.31%,62777,67.0000000000,1/0/00,Personal Auto,Two-Door Car,101.288069
HG39060,Oregon,Male,Bachelor,511068.08%,0,74.0000000000,1/0/00,Corporate Auto,Four-Door Car,532.8
EM29359,Nevada,Male,College,712659.65%,17483,183.0000000000,1/0/00,Personal Auto,Luxury Car,1317.6
SF57173,Oregon,Male,Master,460163.41%,84394,114.0000000000,1/0/00,Personal Auto,SUV,691.412378
OT47603,Oregon,Male,College,915523.97%,0,127.0000000000,1/0/00,Personal Auto,Sports Car,804.811859
SW31412,Oregon,F,College,1480805.62%,41440,62.0000000000,1/1/00,Personal Auto,Four-Door Car,297.6
JS36322,Arizona,Male,High School or Below,890167.84%,0,136.0000000000,1/1/00,Personal Auto,Sports Car,1090.86434
RE81445,Oregon,F,College,573459.82%,98132,71.0000000000,1/0/00,Personal Auto,Two-Door Car,50.587035
RM24280,Oregon,F,High School or Below,417769.70%,0,112.0000000000,1/0/00,Personal Auto,Four-Door Car,537.6
LC25393,California,Male,Bachelor,2777628.91%,88220,230.0000000000,1/0/00,Personal Auto,Luxury Car,151.528482
UX38930,Arizona,F,Master,1036434.75%,58327,129.0000000000,1/0/00,Personal Auto,SUV,347.075948
HD95496,Oregon,Male,Master,785190.14%,25950,66.0000000000,1/0/00,Personal Auto,Two-Door Car,271.697529
RX24650,Oregon,Male,High School or Below,477294.38%,20993,133.0000000000,1/0/00,Corporate Auto,SUV,638.4
DW19309,Oregon,Male,High School or Below,1422650.49%,65726,177.0000000000,1/0/00,Corporate Auto,SUV,849.6
MT41386,Washington,M,Bachelors,287543.24%,84768,72.0000000000,1/0/00,Personal Auto,Two-Door Car,110.484661
WZ40465,Washington,F,Bachelor,504129.96%,36234,63.0000000000,1/0/00,Personal Auto,Four-Door Car,113.534474
DB42794,California,Male,College,436293.12%,58842,110.0000000000,1/0/00,Personal Auto,Four-Door Car,528
JB50798,Oregon,F,Master,962452.44%,25629,124.0000000000,1/2/00,Corporate Auto,Sports Car,595.2
IP69763,Washington,F,College,2191440.55%,77311,181.0000000000,1/0/00,Personal Auto,SUV,113.609508
TE35785,California,Male,Doctor,694842.22%,0,196.0000000000,1/2/00,Personal Auto,Luxury SUV,1337.063487
HX74855,Washington,M,High School or Below,247152.84%,95697,61.0000000000,1/0/00,Personal Auto,Two-Door Car,114.273025
QN65180,Oregon,F,Bachelor,2190391.36%,22254,79.0000000000,1/0/00,Personal Auto,Four-Door Car,125.194389
GE47180,Nevada,Male,High School or Below,902882.14%,65974,113.0000000000,1/0/00,Personal Auto,Sports Car,235.220971
VQ38776,Oregon,F,College,530375.95%,0,76.0000000000,1/0/00,Personal Auto,Four-Door Car,395.34111
BH86846,Washington,M,High School or Below,2070825.88%,92079,65.0000000000,1/1/00,Corporate Auto,Four-Door Car,114.798771
IN17648,Nevada,Male,High School or Below,512376.81%,0,74.0000000000,1/0/00,Personal Auto,Two-Door Car,772.798511
DF95759,Oregon,Male,College,949234.30%,0,132.0000000000,1/0/00,Personal Auto,SUV,633.6
QG45324,Oregon,F,High School or Below,820486.32%,0,73.0000000000,1/0/00,Personal Auto,Four-Door Car,350.4
MN61620,Arizona,F,College,987729.57%,67752,131.0000000000,1/4/00,Personal Auto,Sports Car,168.517149
YH86390,California,F,Bachelor,481500.97%,25398,64.0000000000,1/0/00,Corporate Auto,Four-Door Car,307.2
FY13480,California,Male,High School or Below,627701.17%,0,88.0000000000,1/0/00,Personal Auto,Four-Door Car,633.6
YH61661,California,M,High School or Below,826063.98%,33321,105.0000000000,1/0/00,Special Auto,SUV,504
NL93182,Nevada,M,Bachelor,254945.00%,0,78.0000000000,1/0/00,Corporate Auto,Four-Door Car,845.654042
LN31673,Washington,NA,College,1131808.98%,38923,99.0000000000,1/2/00,Personal Auto,Four-Door Car,115.728852
WE68644,Oregon,F,Bachelor,380392.18%,20325,100.0000000000,1/0/00,Personal Auto,Sports Car,668.29397
EZ30498,Oregon,M,Bachelor,863540.35%,13129,117.0000000000,1/0/00,Personal Auto,SUV,700.901632
QY74517,Oregon,F,High School or Below,551055.90%,0,73.0000000000,1/0/00,Personal Auto,Four-Door Car,525.6
NM88660,Nevada,M,Master,358588.41%,49080,91.0000000000,1/0/00,Corporate Auto,Four-Door Car,25.299
MZ82036,Nevada,M,College,488925.28%,42536,63.0000000000,1/0/00,Personal Auto,Four-Door Car,375.330097
ID20929,Oregon,M,Bachelor,275694.17%,29926,74.0000000000,1/0/00,Corporate Auto,Four-Door Car,418.233667
EY50028,Nevada,M,Doctor,328954.74%,0,86.0000000000,1/0/00,Corporate Auto,Two-Door Car,398.240791
TT82373,California,F,Bachelor,1093717.85%,21450,138.0000000000,1/0/00,Personal Auto,Sports Car,938.513425
OH64088,California,M,High School or Below,737556.79%,33345,65.0000000000,1/0/00,Corporate Auto,Four-Door Car,338.619869
SK97780,California,F,Bachelor,1011077.82%,15752,90.0000000000,1/0/00,Corporate Auto,Two-Door Car,339.344531
IO33050,Oregon,F,High School or Below,511941.43%,40169,65.0000000000,1/1/00,Personal Auto,Four-Door Car,302.818833
XA55917,California,F,College,853383.20%,26049,113.0000000000,1/1/00,Personal Auto,SUV,619.165344
JK32620,Nevada,M,College,222476.80%,0,68.0000000000,1/0/00,Personal Auto,Four-Door Car,326.4
RQ19236,Arizona,M,Doctor,804280.38%,55411,100.0000000000,1/0/00,Personal Auto,Sports Car,259.561195
QC47433,Oregon,M,College,255443.71%,12459,70.0000000000,1/0/00,Personal Auto,Four-Door Car,336
RA93608,Oregon,M,Bachelor,1807394.00%,64620,76.0000000000,1/1/00,Personal Auto,Two-Door Car,364.8
XH97711,California,M,Bachelor,243050.66%,83140,61.0000000000,1/0/00,Corporate Auto,Four-Door Car,179.161843
AU96286,Oregon,F,Bachelor,316765.84%,0,92.0000000000,1/0/00,Corporate Auto,Four-Door Car,662.4
KC17170,Arizona,F,Bachelor,546560.40%,54422,68.0000000000,1/0/00,Corporate Auto,Four-Door Car,75.501852
ZN47335,California,M,College,1035751.42%,68309,131.0000000000,1/0/00,Corporate Auto,SUV,306.983596
EI46264,California,M,High School or Below,253781.39%,56621,65.0000000000,1/2/00,Personal Auto,Four-Door Car,84.026848
EK87864,Arizona,F,College,282194.72%,38977,70.0000000000,1/0/00,Special Auto,Four-Door Car,139.489926
GV45403,AZ,M,Bachelor,775712.81%,0,111.0000000000,1/0/00,Corporate Auto,Two-Door Car,607.4459
QK31192,AZ,M,High School or Below,407913.27%,0,114.0000000000,1/0/00,Corporate Auto,Two-Door Car,631.124372
LU89008,AZ,F,College,595554.46%,0,83.0000000000,1/0/00,Personal Auto,Four-Door Car,628.023494
NS10490,Oregon,F,Bachelor,1415861.36%,83235,70.0000000000,1/0/00,Personal Auto,Two-Door Car,336
KL98495,Nevada,M,College,848723.80%,0,74.0000000000,1/0/00,Personal Auto,Two-Door Car,426.655599
IU96845,AZ,M,College,628547.69%,32390,80.0000000000,1/0/00,Personal Auto,Four-Door Car,91.417923
QL93655,Oregon,F,High School or Below,1147348.15%,66538,95.0000000000,1/0/00,Personal Auto,Two-Door Car,317.844812
PF40592,Washington,F,College,494263.06%,23285,65.0000000000,1/0/00,Personal Auto,Two-Door Car,118.446235
LZ34046,Oregon,M,Bachelor,2359468.02%,76358,66.0000000000,1/0/00,Personal Auto,Four-Door Car,86.461582
JC80093,Washington,M,Master,257250.66%,21104,66.0000000000,1/0/00,Personal Auto,Four-Door Car,118.454974
YE88490,AZ,F,College,538089.86%,55350,67.0000000000,1/0/00,Personal Auto,Four-Door Car,321.6
YC80498,California,F,College,477055.09%,12964,65.0000000000,1/0/00,Personal Auto,Two-Door Car,362.774545
AI85843,AZ,F,Master,675665.14%,33288,86.0000000000,1/2/00,Personal Auto,Four-Door Car,221.856184
XD66024,AZ,F,College,593601.18%,0,84.0000000000,1/0/00,Personal Auto,Four-Door Car,980.169081
FY51713,AZ,F,Bachelor,357076.05%,56168,88.0000000000,1/0/00,Personal Auto,Four-Door Car,614.675906
PH26378,California,M,College,601996.05%,0,92.0000000000,1/0/00,Personal Auto,Four-Door Car,662.4
WQ18638,Oregon,M,High School or Below,542686.40%,23105,69.0000000000,1/0/00,Personal Auto,Two-Door Car,331.2
