,Customer,State,Customer Lifetime Value,Response,Coverage,Education,Effective To Date,EmploymentStatus,Gender,Income,Location Code,Marital Status,Monthly Premium Auto,Months Since Last Claim,Months Since Policy Inception,Number of Open Complaints,Number of Policies,Policy Type,Policy,Renew Offer Type,Sales Channel,Total Claim Amount,Vehicle Class,Vehicle Size,Vehicle Type
385,OQ61223,,17497.52201,,Basic,College,2/28/11,Unemployed,M,0,Suburban,Divorced,73,9.0,94,0.0,2,Personal Auto,Personal L2,Offer1,Agent,350.4,Two-Door Car,Medsize,nan
386,LK39646,Washington,8018.503854,No,Basic,Bachelor,2/28/11,Employed,F,58843,Urban,Single,68,1.0,96,0.0,2,Corporate Auto,Corporate L1,Offer3,Call Center,200.490816,Two-Door Car,Large,A
387,GB32334,California,5379.482798,No,Basic,College,2/10/11,Employed,F,24702,Urban,Married,68,13.0,63,0.0,8,Personal Auto,Personal L3,Offer2,Web,214.91451,Four-Door Car,Large,A
388,IT11766,California,4148.570285,No,Basic,Bachelor,1/29/11,Employed,F,61896,Urban,Married,104,25.0,97,0.0,1,Personal Auto,Personal L2,Offer4,Call Center,461.306722,SUV,Medsize,nan
389,QH48047,Oregon,11790.49617,Yes,Basic,College,1/3/11,Retired,M,25251,Suburban,Divorced,66,13.0,43,0.0,2,Personal Auto,Personal L2,Offer2,Web,316.8,Four-Door Car,Medsize,A
390,LY83340,Oregon,7851.582939,No,Basic,High School or Below,1/5/11,Employed,F,48943,Rural,Married,65,17.0,50,0.0,2,Corporate Auto,Corporate L3,Offer1,Web,105.06878800000000,Two-Door Car,Medsize,A
391,PN47493,Oregon,2680.900678,No,Basic,College,2/11/11,Employed,F,41968,Urban,Married,67,11.0,96,0.0,1,Corporate Auto,Corporate L3,Offer1,Agent,183.207703,Four-Door Car,Medsize,A
392,YT36855,Washington,2981.875575,No,Extended,College,2/24/11,Unemployed,M,0,Suburban,Married,83,26.0,89,0.0,1,Personal Auto,Personal L2,Offer3,Web,582.679087,Two-Door Car,Medsize,nan
393,DA57177,Oregon,4282.947971000000,Yes,Basic,College,2/26/11,Employed,F,40864,Rural,Married,109,16.0,70,1.0,1,Personal Auto,Personal L2,Offer1,Agent,166.937747,SUV,Medsize,A
394,FA82777,Arizona,4165.994433,No,Basic,High School or Below,2/7/11,Unemployed,F,0,Suburban,Single,64,27.0,32,3.0,5,Personal Auto,Personal L1,Offer1,Agent,575.890362,Four-Door Car,Small,nan
395,CY30418,Washington,5783.175676,No,Basic,College,1/1/11,Employed,M,72354,Rural,Divorced,73,9.0,10,0.0,8,Personal Auto,Personal L3,Offer1,Agent,13.949992000000000,Four-Door Car,Medsize,nan
396,VW13019,Nevada,4904.894731,Yes,Extended,College,2/14/11,Retired,F,12902,Suburban,Divorced,139,3.0,51,0.0,1,Corporate Auto,Corporate L2,Offer1,Agent,667.2,Sports Car,Medsize,A
397,XV69290,California,22332.43946,Yes,Extended,College,1/11/11,Employed,M,49078,Suburban,Single,97,10.0,3,0.0,2,Corporate Auto,Corporate L2,Offer2,Branch,484.013411,,,nan
398,MP68135,Oregon,6615.815683,No,Extended,College,2/7/11,Employed,M,90414,Suburban,Married,83,7.0,49,1.0,6,Personal Auto,Personal L2,Offer1,Call Center,398.4,Four-Door Car,Small,nan
399,VK92827,California,5352.218989,No,Basic,Bachelor,1/26/11,Employed,M,93606,Suburban,Divorced,67,23.0,44,0.0,3,Personal Auto,Personal L3,Offer2,Branch,321.6,Four-Door Car,Small,nan
400,DQ58142,Arizona,8561.561976,No,Basic,High School or Below,1/8/11,Employed,M,37759,Suburban,Married,108,9.0,51,0.0,5,Corporate Auto,Corporate L3,Offer4,Web,518.4,SUV,Medsize,A
401,OE75629,California,2798.834343,No,Basic,College,1/29/11,Employed,M,48675,Suburban,Divorced,71,26.0,62,1.0,1,Corporate Auto,Corporate L3,Offer1,Web,340.8,Four-Door Car,Medsize,nan
402,BC64697,California,11663.98572,No,Premium,College,2/17/11,Unemployed,F,0,Suburban,Married,107,12.0,34,0.0,2,Personal Auto,Personal L3,Offer3,Call Center,513.6,Four-Door Car,Small,nan
403,ET47892,,12280.76661,,Premium,College,1/1/11,Employed,M,88340,Suburban,Married,102,16.0,1,0.0,2,Personal Auto,Personal L3,Offer1,Branch,489.6,Two-Door Car,Medsize,A
404,XD19546,,8160.689782000000,,Basic,High School or Below,1/21/11,Unemployed,F,0,Suburban,Married,109,15.0,61,0.0,7,Personal Auto,Personal L1,Offer1,Web,523.2,SUV,Medsize,nan
405,YD45065,Oregon,8714.922135000000,Yes,Basic,College,2/21/11,Unemployed,F,0,Suburban,Divorced,118,14.0,64,0.0,4,Personal Auto,Personal L3,Offer1,Agent,566.4,SUV,Medsize,nan
406,UF36172,Oregon,6900.951275,No,Extended,High School or Below,2/22/11,Unemployed,F,0,Urban,Married,92,27.0,50,0.0,7,Personal Auto,Personal L3,Offer2,Branch,428.064465,Two-Door Car,Medsize,A
407,RX45809,California,14854.19552,No,Basic,College,2/6/11,Employed,M,37899,Rural,Married,187,9.0,11,0.0,5,Personal Auto,Personal L1,Offer4,Branch,246.99314500000000,Luxury SUV,Medsize,nan
408,SK12432,Arizona,2388.353882,No,Basic,Bachelor,2/14/11,Unemployed,M,0,Suburban,Single,73,12.0,84,0.0,1,Personal Auto,Personal L1,Offer2,Web,677.9709340000000,Four-Door Car,Medsize,nan
409,UA63517,California,8518.549119,No,Basic,Doctor,1/27/11,Unemployed,F,0,Suburban,Married,112,19.0,86,1.0,8,Personal Auto,Personal L3,Offer2,Branch,537.6,Sports Car,Medsize,nan
410,LL55780,Oregon,6731.050335000000,No,Basic,High School or Below,1/25/11,Unemployed,F,0,Suburban,Single,62,0.0,5,0.0,2,Corporate Auto,Corporate L3,Offer4,Agent,446.4,Four-Door Car,Medsize,nan
411,IB60476,California,4064.107529,No,Basic,Master,1/25/11,Unemployed,M,0,Suburban,Married,107,31.0,41,0.0,1,Personal Auto,Personal L3,Offer4,Branch,513.6,Sports Car,Medsize,A
412,AM52614,Oregon,4477.45201,No,Basic,Bachelor,1/4/11,Employed,F,41402,Suburban,Divorced,119,26.0,26,4.0,1,Personal Auto,Personal L2,Offer2,Branch,571.2,Sports Car,Medsize,A
413,IS58553,Oregon,15173.96841,No,Extended,High School or Below,2/26/11,Employed,F,22448,Suburban,Married,126,20.0,32,0.0,2,Personal Auto,Personal L3,Offer1,Branch,604.8,SUV,Medsize,A
414,EH27304,California,2955.495724,No,Basic,Doctor,1/21/11,Employed,F,56502,Suburban,Single,74,15.0,78,0.0,1,Personal Auto,Personal L1,Offer3,Branch,355.2,Four-Door Car,Medsize,nan
415,UN37063,Arizona,4525.365839,No,Basic,Bachelor,1/31/11,Medical Leave,M,10269,Urban,Single,65,12.0,5,0.0,3,Personal Auto,Personal L1,Offer1,Agent,170.798204,Two-Door Car,Medsize,nan
416,EO40136,Arizona,2912.2484440000000,No,Basic,College,1/24/11,Employed,F,93403,Urban,Divorced,73,18.0,32,0.0,1,Personal Auto,Personal L2,Offer2,Web,295.224598,,,nan
417,CE72177,California,5461.548993,No,Basic,High School or Below,1/7/11,Employed,F,39626,Suburban,Married,69,,0,,3,Personal Auto,Personal L3,Offer2,Agent,485.705851,Four-Door Car,Large,nan
418,LS17120,California,3061.052283,No,Extended,Bachelor,1/11/11,Employed,M,56869,Urban,Single,83,25.0,34,3.0,1,Personal Auto,Personal L2,Offer1,Agent,269.406119,Four-Door Car,Medsize,nan
419,GW43195,Oregon,25807.063,Yes,Extended,College,2/13/11,Employed,F,71210,Suburban,Married,214,8.0,89,1.0,2,Personal Auto,Personal L2,Offer1,Branch,1027.2,Luxury Car,Small,A
420,LK73001,California,8954.434101,No,Premium,College,2/18/11,Employed,M,34614,Suburban,Married,114,,9,,3,Personal Auto,Personal L3,Offer3,Branch,547.2,Four-Door Car,Small,A
421,PY10605,Arizona,4633.101259,No,Basic,Bachelor,1/23/11,Unemployed,M,0,Suburban,Single,70,0.0,86,0.0,3,Personal Auto,Personal L2,Offer1,Agent,336.0,Two-Door Car,Medsize,A
422,PT29055,Oregon,6647.846187,No,Basic,Bachelor,1/29/11,Unemployed,F,0,Suburban,Single,65,34.0,27,0.0,2,Personal Auto,Personal L3,Offer1,Web,312.0,Four-Door Car,Medsize,nan
423,YD87931,Washington,4951.656084,No,Basic,Doctor,1/10/11,Employed,M,46896,Rural,Married,62,9.0,33,1.0,4,Personal Auto,Personal L3,Offer2,Agent,31.707317,Four-Door Car,Medsize,nan
424,FM83188,Washington,8522.759016,No,Basic,Doctor,1/18/11,Unemployed,F,0,Suburban,Married,109,19.0,2,0.0,3,Corporate Auto,Corporate L3,Offer1,Call Center,723.786607,SUV,Medsize,nan
425,DL53457,California,4605.036646000000,Yes,Basic,College,1/28/11,Medical Leave,F,22571,Suburban,Single,63,29.0,51,0.0,9,Personal Auto,Personal L3,Offer2,Web,302.4,Four-Door Car,Large,nan
426,GE82737,Nevada,5337.352409,No,Extended,Bachelor,2/14/11,Unemployed,F,0,Suburban,Single,86,19.0,93,3.0,5,Personal Auto,Personal L3,Offer1,Agent,619.2,,,A
427,KX18446,Washington,6689.022728,Yes,Extended,High School or Below,2/13/11,Employed,M,56980,Suburban,Married,84,33.0,70,0.0,7,Corporate Auto,Corporate L2,Offer2,Agent,599.000883,Two-Door Car,Medsize,nan
428,AG62087,California,3412.566597,No,Extended,Bachelor,1/29/11,Employed,M,30335,Urban,Married,87,17.0,42,0.0,1,Corporate Auto,Corporate L3,Offer3,Agent,326.132867,Four-Door Car,Medsize,nan
429,MN32305,Oregon,2063.387895,No,Basic,College,2/25/11,Unemployed,F,0,Suburban,Single,64,22.0,34,3.0,1,Personal Auto,Personal L3,Offer1,Agent,602.911057,Four-Door Car,Small,nan
430,AB96670,,2393.9153690000000,,Basic,College,1/31/11,Unemployed,M,0,Suburban,Single,70,24.0,10,0.0,1,Personal Auto,Personal L1,Offer1,Branch,425.266308,Four-Door Car,Medsize,nan
431,SI26888,Nevada,4764.189722,No,Basic,High School or Below,2/7/11,Unemployed,F,0,Suburban,Single,67,18.0,73,0.0,8,Personal Auto,Personal L3,Offer1,Web,405.527937,Four-Door Car,Medsize,nan
432,AA11235,Nevada,2568.843396,No,Basic,Bachelor,1/28/11,Medical Leave,F,11167,Suburban,Married,73,,99,,1,Personal Auto,Personal L3,Offer2,Branch,350.4,Two-Door Car,Medsize,nan
433,NC53424,California,4376.083958,No,Basic,Bachelor,1/14/11,Unemployed,M,0,Suburban,Married,69,21.0,70,4.0,3,Personal Auto,Personal L2,Offer4,Web,331.2,Two-Door Car,Medsize,nan
434,LZ34046,Oregon,23594.6802,Yes,Basic,Bachelor,1/31/11,Employed,M,76358,Rural,Married,66,25.0,3,0.0,2,Personal Auto,Personal L1,Offer3,Agent,86.46158200000000,Four-Door Car,Medsize,A
435,PO26937,Oregon,8223.164916,No,Premium,Bachelor,1/18/11,Employed,M,95102,Rural,Married,101,,73,,8,Corporate Auto,Corporate L3,Offer3,Web,94.338814,Four-Door Car,Medsize,A
436,HY36253,California,8490.284985,No,Extended,Bachelor,1/23/11,Disabled,M,28677,Rural,Divorced,78,3.0,30,0.0,2,Personal Auto,Personal L3,Offer3,Agent,131.515739,Four-Door Car,Medsize,nan
437,JB39997,California,6183.1857850000000,No,Extended,College,2/24/11,Employed,F,36464,Rural,Married,78,5.0,17,0.0,7,Personal Auto,Personal L1,Offer4,Call Center,93.515817,Four-Door Car,Medsize,nan
438,NT15165,California,12047.775,No,Premium,Bachelor,1/3/11,Employed,F,43324,Urban,Married,101,8.0,17,0.0,2,Corporate Auto,Corporate L1,Offer2,Branch,284.667612,Two-Door Car,Medsize,nan
439,DY38083,California,8838.085637,Yes,Basic,Bachelor,1/21/11,Employed,M,82664,Rural,Married,114,24.0,10,3.0,9,Personal Auto,Personal L3,Offer2,Agent,133.425609,SUV,Medsize,nan
440,VU99672,California,3548.071725,No,Extended,College,2/4/11,Unemployed,M,0,Urban,Married,96,10.0,77,0.0,1,Corporate Auto,Corporate L2,Offer1,Branch,446.122702,Four-Door Car,Large,A
441,FV22585,Oregon,6960.920371000000,No,Extended,College,2/4/11,Employed,M,74487,Rural,Divorced,88,8.0,86,0.0,3,Personal Auto,Personal L1,Offer1,Call Center,16.711329,Four-Door Car,Medsize,nan
442,IP94270,Arizona,13736.1325,Yes,Premium,Master,2/13/11,Disabled,F,16181,Suburban,Divorced,181,22.0,79,0.0,8,Personal Auto,Personal L2,Offer1,Web,1261.319869,SUV,Medsize,A
443,DW20514,California,8438.463783,No,Basic,College,1/17/11,Disabled,M,25539,Suburban,Married,112,15.0,63,0.0,3,Personal Auto,Personal L3,Offer1,Web,585.069825,SUV,Small,nan
444,IX68587,Nevada,5096.673223,Yes,Basic,Master,1/28/11,Disabled,F,22886,Suburban,Divorced,65,9.0,81,0.0,3,Personal Auto,Personal L2,Offer1,Agent,312.0,Four-Door Car,Small,nan
445,JP10227,California,12280.76661,Yes,Premium,College,1/1/11,Employed,M,88340,Suburban,Married,102,16.0,1,0.0,2,Corporate Auto,Corporate L2,Offer1,Branch,489.6,Two-Door Car,Medsize,A
446,BP49831,Washington,2926.5223,No,Extended,Bachelor,1/16/11,Employed,F,23656,Suburban,Single,80,11.0,1,3.0,1,Corporate Auto,Corporate L3,Offer2,Branch,384.0,Four-Door Car,Medsize,A
447,HD95496,Oregon,7851.901368000000,No,Basic,Master,2/3/11,Employed,M,25950,Urban,Married,66,27.0,1,0.0,2,Personal Auto,Personal L1,Offer4,Agent,271.69752900000000,Two-Door Car,Medsize,A
448,GT66241,California,2414.072446,No,Basic,High School or Below,1/8/11,Unemployed,M,0,Suburban,Single,71,25.0,30,0.0,1,Personal Auto,Personal L3,Offer2,Call Center,511.2,,,nan
449,FF65294,Oregon,10348.01348,No,Extended,High School or Below,1/23/11,Employed,M,34244,Suburban,Married,87,14.0,34,2.0,2,Personal Auto,Personal L3,Offer1,Branch,417.6,Four-Door Car,Medsize,A
450,RB28630,Oregon,5894.907375,No,Basic,High School or Below,2/20/11,Employed,F,39381,Suburban,Married,74,,55,,7,Personal Auto,Personal L3,Offer2,Branch,355.2,Four-Door Car,Small,nan
451,VO87159,Oregon,23086.36478,No,Basic,High School or Below,2/1/11,Employed,F,69240,Urban,Single,194,16.0,29,0.0,2,Personal Auto,Personal L3,Offer2,Branch,744.769131,Luxury SUV,Medsize,nan
452,WS25565,California,8509.850887,Yes,Basic,Master,1/31/11,Disabled,M,26057,Suburban,Divorced,74,,63,,2,Personal Auto,Personal L1,Offer1,Call Center,523.8888450000000,Four-Door Car,Small,nan
453,ZD63451,California,2503.660407,No,Basic,Bachelor,1/11/11,Employed,M,53338,Rural,Married,63,24.0,35,1.0,1,Personal Auto,Personal L2,Offer4,Agent,35.45384,Four-Door Car,Medsize,nan
454,UB28078,California,4200.373728000000,No,Premium,Master,2/11/11,Employed,M,51510,Suburban,Divorced,106,11.0,17,0.0,1,Personal Auto,Personal L2,Offer2,Branch,688.547375,Four-Door Car,Medsize,nan
455,PO56357,,5363.528173,,Basic,High School or Below,1/1/11,Employed,F,64604,Urban,Married,67,18.0,71,1.0,8,Personal Auto,Personal L3,Offer1,Web,272.445607,Four-Door Car,Medsize,A
456,UH89141,Oregon,33279.77231,No,Basic,High School or Below,1/23/11,Employed,F,59130,Urban,Married,117,,7,,2,Corporate Auto,Corporate L3,Offer4,Call Center,436.533172,Sports Car,Medsize,nan
457,BZ85280,Oregon,7284.262288,No,Basic,College,2/23/11,Medical Leave,M,10334,Urban,Married,64,5.0,80,0.0,2,Personal Auto,Personal L1,Offer3,Agent,296.962938,,,nan
458,DJ77787,Arizona,7281.4401400000000,No,Basic,High School or Below,1/7/11,Unemployed,F,0,Suburban,Married,69,28.0,28,3.0,2,Personal Auto,Personal L2,Offer3,Call Center,371.803029,Four-Door Car,Medsize,nan
459,RV98763,Oregon,6410.967544,No,Extended,College,2/8/11,Employed,M,61709,Urban,Married,82,5.0,41,2.0,7,Personal Auto,Personal L3,Offer3,Branch,275.395894,Four-Door Car,Medsize,nan
460,XH47320,Nevada,2937.424534,No,Basic,Master,1/10/11,Employed,F,83195,Urban,Single,73,18.0,36,1.0,1,Personal Auto,Personal L1,Offer1,Call Center,332.693627,Two-Door Car,Medsize,nan
461,IY77611,Arizona,26223.81193,No,Basic,High School or Below,1/7/11,Unemployed,M,0,Suburban,Single,115,,15,,2,Corporate Auto,Corporate L3,Offer1,Call Center,828.0,SUV,Medsize,A
462,XQ12791,California,3401.881747,No,Extended,High School or Below,1/21/11,Employed,M,41972,Suburban,Divorced,86,20.0,23,0.0,1,Personal Auto,Personal L3,Offer2,Branch,691.709371,Four-Door Car,Medsize,A
463,KP51068,Oregon,2640.58732,No,Basic,Bachelor,2/1/11,Employed,M,59961,Urban,Single,68,8.0,7,0.0,1,Personal Auto,Personal L3,Offer1,Branch,291.91645,Four-Door Car,Medsize,nan
464,KS36311,California,2701.039719000000,No,Basic,College,2/19/11,Employed,F,39141,Suburban,Married,68,22.0,7,0.0,1,Personal Auto,Personal L1,Offer2,Branch,402.456296,Four-Door Car,Small,nan
465,DB75522,California,6988.4016040000000,No,Extended,College,2/26/11,Employed,F,22436,Suburban,Married,89,24.0,21,0.0,3,Special Auto,Special L2,Offer2,Branch,427.2,Four-Door Car,Small,A
466,ZN98560,California,7896.706446000000,No,Basic,College,2/12/11,Unemployed,M,0,Rural,Married,111,22.0,21,0.0,8,Corporate Auto,Corporate L1,Offer1,Branch,190.120714,SUV,Medsize,nan
467,GB70736,Oregon,5510.965059,No,Basic,College,1/21/11,Employed,F,99553,Rural,Married,68,14.0,85,0.0,6,Corporate Auto,Corporate L3,Offer4,Web,111.586995,Four-Door Car,Medsize,A
468,LP59331,Arizona,5282.543094,No,Basic,College,2/26/11,Employed,M,38606,Suburban,Single,68,16.0,99,0.0,3,Personal Auto,Personal L3,Offer1,Branch,413.288851,Four-Door Car,Medsize,A
469,FM54600,Washington,18853.73945,No,Premium,High School or Below,1/14/11,Unemployed,F,0,Suburban,Single,173,24.0,21,0.0,2,Corporate Auto,Corporate L2,Offer2,Branch,1245.6,SUV,Medsize,A
470,AU71562,Washington,2936.726182,No,Basic,High School or Below,2/11/11,Employed,F,27179,Suburban,Married,74,,69,,1,Personal Auto,Personal L3,Offer2,Branch,355.2,Four-Door Car,Medsize,A
471,FS42690,Washington,3781.4548,No,Extended,College,2/1/11,Employed,M,57647,Suburban,Married,94,3.0,99,0.0,1,Personal Auto,Personal L3,Offer1,Branch,451.2,Two-Door Car,Medsize,A
472,UU70820,Arizona,5867.126420000000,No,Basic,College,2/22/11,Employed,F,27880,Urban,Married,74,4.0,9,0.0,5,Personal Auto,Personal L3,Offer2,Call Center,199.444294,Four-Door Car,Large,A
473,ZU73588,California,5989.7739310000000,Yes,Premium,College,1/19/11,Employed,M,66839,Suburban,Single,154,33.0,24,0.0,1,Personal Auto,Personal L3,Offer2,Branch,739.2,Sports Car,Medsize,A
474,BC35753,Arizona,2671.295549,No,Basic,College,1/18/11,Employed,F,45525,Suburban,Married,66,1.0,41,0.0,1,Personal Auto,Personal L2,Offer4,Agent,316.8,Two-Door Car,Small,A
475,MB20764,,17622.1332,,Premium,High School or Below,2/18/11,Unemployed,M,0,Suburban,Single,252,31.0,10,0.0,3,Corporate Auto,Corporate L2,Offer4,Branch,1814.4,Luxury SUV,Medsize,A
476,RA89822,California,34611.37896,Yes,Basic,High School or Below,1/14/11,Employed,F,20090,Suburban,Married,109,10.0,59,0.0,2,Personal Auto,Personal L2,Offer2,Agent,523.2,Sports Car,Medsize,nan
477,MT91823,Arizona,13438.04189,No,Basic,College,1/21/11,Employed,F,69693,Suburban,Married,112,,62,,2,Special Auto,Special L2,Offer1,Branch,537.6,Sports Car,Small,nan
478,DO98345,,13156.74895,,Extended,High School or Below,2/28/11,Employed,M,72517,Urban,Married,82,33.0,27,0.0,2,Personal Auto,Personal L3,Offer2,Web,371.458196,Two-Door Car,Medsize,nan
479,CO12132,California,8879.790017,Yes,Basic,High School or Below,2/3/11,Employed,F,52583,Urban,Single,113,12.0,59,0.0,7,Personal Auto,Personal L3,Offer1,Agent,528.2008600000000,SUV,Small,A
480,EC71986,Washington,2429.280527,No,Basic,High School or Below,1/18/11,Medical Leave,F,26736,Suburban,Married,63,6.0,64,0.0,1,Personal Auto,Personal L1,Offer1,Agent,367.92773,,,nan
481,ZW84453,Arizona,5116.237577,No,Basic,Bachelor,1/8/11,Unemployed,F,0,Rural,Married,70,1.0,11,0.0,5,Personal Auto,Personal L2,Offer1,Web,131.401291,Four-Door Car,Medsize,A
482,HP42153,Washington,2351.878675,No,Basic,High School or Below,1/29/11,Medical Leave,F,12928,Suburban,Single,64,12.0,74,0.0,1,Personal Auto,Personal L3,Offer1,Agent,307.2,Four-Door Car,Medsize,A
483,SH75038,California,5981.381645,No,Basic,Bachelor,2/16/11,Employed,F,88723,Suburban,Divorced,74,12.0,94,0.0,8,Personal Auto,Personal L2,Offer1,Agent,355.2,Two-Door Car,Medsize,nan
484,HD32044,Oregon,8288.155579,No,Premium,Master,1/25/11,Employed,F,33816,Suburban,Divorced,106,10.0,97,2.0,3,Corporate Auto,Corporate L3,Offer1,Branch,508.8,Four-Door Car,Medsize,A
485,ZW25874,Oregon,2521.555686,No,Basic,Bachelor,2/16/11,Employed,M,53703,Rural,Single,67,3.0,45,2.0,1,Special Auto,Special L3,Offer1,Branch,67.632476,Four-Door Car,Medsize,nan
486,VE52406,California,2471.528431,Yes,Basic,High School or Below,1/15/11,Employed,M,95697,Rural,Married,61,16.0,55,0.0,1,Corporate Auto,Corporate L3,Offer2,Agent,114.273025,Two-Door Car,Medsize,nan
487,LV62981,Arizona,6874.326693000000,No,Extended,College,1/4/11,Employed,M,22093,Suburban,Divorced,87,15.0,8,0.0,9,Corporate Auto,Corporate L3,Offer4,Branch,616.749885,Two-Door Car,Medsize,nan
488,YO49328,Arizona,12296.49757,No,Basic,High School or Below,1/6/11,Employed,M,55193,Suburban,Married,105,8.0,22,1.0,2,Personal Auto,Personal L2,Offer3,Branch,504.0,SUV,Medsize,A
489,GU42671,Arizona,6106.941981,No,Extended,Bachelor,2/21/11,Medical Leave,F,16654,Suburban,Married,79,23.0,31,0.0,7,Personal Auto,Personal L3,Offer1,Branch,379.2,,,A
490,XV11038,California,9223.987144,No,Extended,College,2/25/11,Medical Leave,F,18814,Suburban,Single,122,20.0,94,0.0,3,Personal Auto,Personal L2,Offer2,Branch,585.6,Sports Car,Medsize,A
491,IE97795,,6878.008403,,Extended,High School or Below,2/5/11,Employed,M,39020,Suburban,Married,87,0.0,4,0.0,5,Corporate Auto,Corporate L1,Offer3,Agent,485.01384,,,A
492,GE62437,Arizona,12902.56014,No,Premium,College,2/2/11,Employed,F,86584,Suburban,Single,111,33.0,54,2.0,2,Personal Auto,Personal L3,Offer1,Call Center,532.8,Four-Door Car,Large,A
493,BI81476,Oregon,10346.11154,No,Extended,High School or Below,2/9/11,Employed,F,55906,Rural,Married,86,,3,,2,Personal Auto,Personal L2,Offer3,Agent,58.469264,Four-Door Car,Medsize,A
494,AY55759,California,20096.89337,Yes,Basic,High School or Below,1/1/11,Employed,F,92766,Suburban,Married,71,17.0,15,0.0,2,Personal Auto,Personal L2,Offer2,Agent,379.029102,,,nan
495,DG33206,Washington,8861.900439000000,No,Premium,Doctor,1/16/11,Employed,F,41854,Urban,Married,110,17.0,44,0.0,8,Personal Auto,Personal L3,Offer1,Agent,481.269644,Four-Door Car,Medsize,nan
496,QD86074,Oregon,9035.671134,Yes,Premium,High School or Below,1/21/11,Employed,F,34337,Suburban,Married,113,,44,,9,Corporate Auto,Corporate L1,Offer2,Web,542.4,Four-Door Car,Large,A
497,QV55524,Washington,7503.367741,No,Extended,College,2/6/11,Employed,M,52464,Suburban,Married,95,9.0,15,0.0,3,Personal Auto,Personal L2,Offer4,Agent,515.930856,Four-Door Car,Medsize,A
498,IH17933,Washington,4462.445111,No,Basic,College,2/8/11,Employed,M,70088,Urban,Married,112,0.0,33,0.0,1,Personal Auto,Personal L3,Offer2,Call Center,536.481665,SUV,Large,nan
499,XS76166,Oregon,3245.479985,No,Extended,College,1/17/11,Employed,F,35592,Suburban,Married,82,34.0,38,0.0,1,Personal Auto,Personal L3,Offer4,Call Center,496.805418,Two-Door Car,Small,A
500,KR10942,Oregon,2651.615963,No,Basic,Bachelor,1/21/11,Employed,F,33201,Urban,Married,66,9.0,56,0.0,1,Personal Auto,Personal L3,Offer4,Branch,314.044227,Two-Door Car,Medsize,nan
501,BY84257,Arizona,2379.614363,No,Basic,College,2/10/11,Unemployed,M,0,Suburban,Single,71,28.0,15,0.0,1,Special Auto,Special L1,Offer4,Branch,747.107317,Four-Door Car,Medsize,A
502,PT45842,Arizona,4642.020128,No,Basic,College,2/11/11,Unemployed,M,0,Suburban,Single,64,10.0,15,0.0,5,Personal Auto,Personal L3,Offer1,Web,770.254285,Two-Door Car,Small,A
503,WQ23548,California,11003.54385,No,Basic,Master,2/22/11,Unemployed,F,0,Suburban,Single,102,20.0,7,1.0,2,Personal Auto,Personal L2,Offer4,Web,489.6,SUV,Medsize,nan
504,AP23850,Washington,17771.54902,No,Premium,High School or Below,1/23/11,Unemployed,F,0,Suburban,Married,114,30.0,1,0.0,2,Personal Auto,Personal L2,Offer3,Branch,547.2,Two-Door Car,Medsize,A
505,QG61936,California,4516.8113940000000,No,Extended,Master,1/2/11,Unemployed,M,0,Suburban,Married,124,29.0,9,0.0,1,Corporate Auto,Corporate L3,Offer2,Call Center,595.2,SUV,Medsize,nan
506,HK30754,Arizona,9426.971158,No,Extended,College,1/16/11,Medical Leave,M,26263,Suburban,Divorced,85,11.0,31,0.0,2,Special Auto,Special L2,Offer4,Agent,475.159732,Two-Door Car,Large,nan
507,RH42306,Arizona,4992.063043,No,Basic,Bachelor,1/27/11,Unemployed,F,0,Suburban,Single,71,6.0,5,0.0,3,Corporate Auto,Corporate L2,Offer3,Web,653.388564,Four-Door Car,Small,nan
508,BD12981,California,5732.6866420000000,No,Basic,College,1/30/11,Employed,F,39337,Urban,Single,74,29.0,1,1.0,9,Personal Auto,Personal L2,Offer1,Agent,277.225868,Four-Door Car,Medsize,nan
509,WD87578,Nevada,7821.188278,No,Premium,High School or Below,2/8/11,Unemployed,F,0,Suburban,Single,109,31.0,74,0.0,3,Personal Auto,Personal L2,Offer2,Call Center,784.8,Four-Door Car,Medsize,A
510,JW45704,California,2308.692609,No,Basic,Bachelor,2/7/11,Unemployed,M,0,Suburban,Married,64,33.0,98,0.0,1,Personal Auto,Personal L3,Offer3,Agent,431.768752,Four-Door Car,Medsize,nan
511,HX36471,California,6788.084852,No,Extended,High School or Below,1/13/11,Unemployed,F,0,Suburban,Single,93,2.0,70,0.0,9,Personal Auto,Personal L3,Offer2,Branch,855.3417290000000,Two-Door Car,Medsize,A
512,HY46017,California,2776.772734,No,Basic,College,2/26/11,Employed,F,70793,Rural,Married,69,32.0,1,0.0,1,Personal Auto,Personal L3,Offer2,Web,62.625841,Four-Door Car,Large,A
513,FA57012,California,6141.961623000000,No,Basic,College,2/17/11,Unemployed,M,0,Suburban,Single,182,24.0,45,0.0,1,Special Auto,Special L2,Offer3,Branch,1310.4,Luxury Car,Small,A
514,AC13887,California,4628.995325,No,Basic,Bachelor,1/9/11,Unemployed,M,0,Suburban,Single,67,25.0,21,0.0,4,Corporate Auto,Corporate L1,Offer1,Branch,482.4,Two-Door Car,Medsize,A
515,NW14895,Arizona,12883.11573,No,Basic,Bachelor,1/2/11,Employed,M,77469,Suburban,Divorced,109,2.0,98,1.0,2,Personal Auto,Personal L2,Offer1,Agent,757.170246,SUV,Small,A
